weight_class,category,direction,rank,fighter,score,prior_fights,days_since_last_fight,supporting_stats_json
Women's Strawweight,overall,best,1,Tatiana Suarez,1.929,10,28,"{""prior_elo"": 1623.328, ""prior_win_rate"": 0.9, ""recent_5_win_rate"": 0.8, ""avg_sig_str_differential_per_15"": 19.949, ""prior_finish_win_rate"": 0.6}"
Women's Strawweight,overall,best,2,Gillian Robertson,1.564,20,56,"{""prior_elo"": 1608.891, ""prior_win_rate"": 0.7, ""recent_5_win_rate"": 1.0, ""avg_sig_str_differential_per_15"": -6.585, ""prior_finish_win_rate"": 0.5}"
Women's Strawweight,overall,best,3,Denise Gomes,1.454,8,182,"{""prior_elo"": 1572.529, ""prior_win_rate"": 0.75, ""recent_5_win_rate"": 0.8, ""avg_sig_str_differential_per_15"": 112.292, ""prior_finish_win_rate"": 0.375}"
Women's Strawweight,overall,best,4,Virna Jandiroba,1.152,13,35,"{""prior_elo"": 1590.17, ""prior_win_rate"": 0.692, ""recent_5_win_rate"": 0.8, ""avg_sig_str_differential_per_15"": -5.348, ""prior_finish_win_rate"": 0.308}"
Women's Strawweight,overall,best,5,Mackenzie Dern,0.956,16,196,"{""prior_elo"": 1580.601, ""prior_win_rate"": 0.688, ""recent_5_win_rate"": 0.6, ""avg_sig_str_differential_per_15"": -0.472, ""prior_finish_win_rate"": 0.312}"
Women's Strawweight,overall,worst,1,Istela Nunes,-1.774,5,399,"{""prior_elo"": 1423.123, ""prior_win_rate"": 0.0, ""recent_5_win_rate"": 0.0, ""avg_sig_str_differential_per_15"": -6.091, ""prior_finish_win_rate"": 0.0}"
Women's Strawweight,overall,worst,2,Montserrat Conejo Ruiz,-1.462,5,189,"{""prior_elo"": 1442.922, ""prior_win_rate"": 0.2, ""recent_5_win_rate"": 0.2, ""avg_sig_str_differential_per_15"": -73.478, ""prior_finish_win_rate"": 0.0}"
Women's Strawweight,overall,worst,3,Jinh Yu Frey,-1.308,8,931,"{""prior_elo"": 1438.671, ""prior_win_rate"": 0.25, ""recent_5_win_rate"": 0.2, ""avg_sig_str_differential_per_15"": -27.722, ""prior_finish_win_rate"": 0.0}"
Women's Strawweight,overall,worst,4,Ashley Yoder,-1.286,11,938,"{""prior_elo"": 1432.528, ""prior_win_rate"": 0.273, ""recent_5_win_rate"": 0.2, ""avg_sig_str_differential_per_15"": -10.636, ""prior_finish_win_rate"": 0.0}"
Women's Strawweight,overall,worst,5,Hannah Goldy,-1.082,5,959,"{""prior_elo"": 1452.216, ""prior_win_rate"": 0.2, ""recent_5_win_rate"": 0.2, ""avg_sig_str_differential_per_15"": -15.936, ""prior_finish_win_rate"": 0.2}"
Women's Strawweight,striking,best,1,Denise Gomes,2.915,8,182,"{""avg_sig_str_differential_per_15"": 112.292, ""avg_sig_str_landed_per_15"": 150.445, ""avg_sig_str_absorbed_per_15"": 38.153, ""avg_sig_str_accuracy"": 0.573, ""avg_sig_str_defense"": 0.516, ""avg_kd_for"": 0.375, ""avg_kd_against"": 0.0}"
Women's Strawweight,striking,best,2,Yan Xiaonan,0.809,13,392,"{""avg_sig_str_differential_per_15"": 26.614, ""avg_sig_str_landed_per_15"": 76.858, ""avg_sig_str_absorbed_per_15"": 50.245, ""avg_sig_str_accuracy"": 0.47, ""avg_sig_str_defense"": 0.567, ""avg_kd_for"": 0.154, ""avg_kd_against"": 0.0}"
Women's Strawweight,striking,best,3,Julia Polastri,0.765,5,14,"{""avg_sig_str_differential_per_15"": 16.877, ""avg_sig_str_landed_per_15"": 95.178, ""avg_sig_str_absorbed_per_15"": 78.301, ""avg_sig_str_accuracy"": 0.59, ""avg_sig_str_defense"": 0.585, ""avg_kd_for"": 0.0, ""avg_kd_against"": 0.0}"
Women's Strawweight,striking,best,4,Amanda Lemos,0.745,15,56,"{""avg_sig_str_differential_per_15"": 12.629, ""avg_sig_str_landed_per_15"": 56.399, ""avg_sig_str_absorbed_per_15"": 43.769, ""avg_sig_str_accuracy"": 0.537, ""avg_sig_str_defense"": 0.567, ""avg_kd_for"": 0.4, ""avg_kd_against"": 0.067}"
Women's Strawweight,striking,best,5,Tecia Pennington,0.732,19,182,"{""avg_sig_str_differential_per_15"": 21.576, ""avg_sig_str_landed_per_15"": 72.855, ""avg_sig_str_absorbed_per_15"": 51.279, ""avg_sig_str_accuracy"": 0.488, ""avg_sig_str_defense"": 0.629, ""avg_kd_for"": 0.053, ""avg_kd_against"": 0.0}"
Women's Strawweight,striking,worst,1,Yazmin Jauregui,-2.469,5,602,"{""avg_sig_str_differential_per_15"": -122.734, ""avg_sig_str_landed_per_15"": 92.703, ""avg_sig_str_absorbed_per_15"": 215.437, ""avg_sig_str_accuracy"": 0.332, ""avg_sig_str_defense"": 0.433, ""avg_kd_for"": 0.4, ""avg_kd_against"": 0.6}"
Women's Strawweight,striking,worst,2,Montserrat Conejo Ruiz,-1.908,5,189,"{""avg_sig_str_differential_per_15"": -73.478, ""avg_sig_str_landed_per_15"": 38.818, ""avg_sig_str_absorbed_per_15"": 112.296, ""avg_sig_str_accuracy"": 0.298, ""avg_sig_str_defense"": 0.424, ""avg_kd_for"": 0.0, ""avg_kd_against"": 0.2}"
Women's Strawweight,striking,worst,3,Jessica Penne,-1.267,9,567,"{""avg_sig_str_differential_per_15"": -52.066, ""avg_sig_str_landed_per_15"": 42.811, ""avg_sig_str_absorbed_per_15"": 94.878, ""avg_sig_str_accuracy"": 0.365, ""avg_sig_str_defense"": 0.422, ""avg_kd_for"": 0.0, ""avg_kd_against"": 0.0}"
Women's Strawweight,striking,worst,4,Ariane Carnelossi,-0.86,6,189,"{""avg_sig_str_differential_per_15"": -26.694, ""avg_sig_str_landed_per_15"": 41.931, ""avg_sig_str_absorbed_per_15"": 68.626, ""avg_sig_str_accuracy"": 0.429, ""avg_sig_str_defense"": 0.405, ""avg_kd_for"": 0.0, ""avg_kd_against"": 0.167}"
Women's Strawweight,striking,worst,5,Jinh Yu Frey,-0.761,8,931,"{""avg_sig_str_differential_per_15"": -27.722, ""avg_sig_str_landed_per_15"": 52.658, ""avg_sig_str_absorbed_per_15"": 80.38, ""avg_sig_str_accuracy"": 0.43, ""avg_sig_str_defense"": 0.493, ""avg_kd_for"": 0.0, ""avg_kd_against"": 0.25}"
Women's Strawweight,grappling,best,1,Tatiana Suarez,2.052,10,28,"{""avg_td_landed_per_15"": 6.07, ""avg_td_accuracy"": 0.624, ""avg_td_defense"": 0.556, ""avg_ctrl_seconds_per_15"": 572.483, ""avg_sub_att_per_15"": 1.574, ""avg_td_absorbed_per_15"": 0.461, ""avg_ctrl_absorbed_seconds_per_15"": 69.739}"
Women's Strawweight,grappling,best,2,Virna Jandiroba,1.437,13,35,"{""avg_td_landed_per_15"": 3.443, ""avg_td_accuracy"": 0.478, ""avg_td_defense"": 0.736, ""avg_ctrl_seconds_per_15"": 424.719, ""avg_sub_att_per_15"": 2.932, ""avg_td_absorbed_per_15"": 0.631, ""avg_ctrl_absorbed_seconds_per_15"": 105.605}"
Women's Strawweight,grappling,best,3,Cory McKenna,1.34,6,574,"{""avg_td_landed_per_15"": 3.77, ""avg_td_accuracy"": 0.502, ""avg_td_defense"": 0.8, ""avg_ctrl_seconds_per_15"": 420.083, ""avg_sub_att_per_15"": 0.826, ""avg_td_absorbed_per_15"": 0.333, ""avg_ctrl_absorbed_seconds_per_15"": 92.066}"
Women's Strawweight,grappling,best,4,Talita Alencar,1.143,5,14,"{""avg_td_landed_per_15"": 2.827, ""avg_td_accuracy"": 0.447, ""avg_td_defense"": 1.0, ""avg_ctrl_seconds_per_15"": 297.427, ""avg_sub_att_per_15"": 0.611, ""avg_td_absorbed_per_15"": 0.0, ""avg_ctrl_absorbed_seconds_per_15"": 46.562}"
Women's Strawweight,grappling,best,5,Piera Rodriguez,0.978,7,56,"{""avg_td_landed_per_15"": 3.917, ""avg_td_accuracy"": 0.624, ""avg_td_defense"": 0.817, ""avg_ctrl_seconds_per_15"": 284.773, ""avg_sub_att_per_15"": 0.0, ""avg_td_absorbed_per_15"": 0.744, ""avg_ctrl_absorbed_seconds_per_15"": 148.348}"
Women's Strawweight,grappling,worst,1,Istela Nunes,-2.003,5,399,"{""avg_td_landed_per_15"": 0.0, ""avg_td_accuracy"": 0.0, ""avg_td_defense"": 0.457, ""avg_ctrl_seconds_per_15"": 43.945, ""avg_sub_att_per_15"": 0.0, ""avg_td_absorbed_per_15"": 7.452, ""avg_ctrl_absorbed_seconds_per_15"": 282.033}"
Women's Strawweight,grappling,worst,2,Elise Reed,-1.506,9,357,"{""avg_td_landed_per_15"": 0.333, ""avg_td_accuracy"": 0.333, ""avg_td_defense"": 0.425, ""avg_ctrl_seconds_per_15"": 78.396, ""avg_sub_att_per_15"": 0.0, ""avg_td_absorbed_per_15"": 4.262, ""avg_ctrl_absorbed_seconds_per_15"": 438.012}"
Women's Strawweight,grappling,worst,3,Ariane Carnelossi,-1.233,6,189,"{""avg_td_landed_per_15"": 0.965, ""avg_td_accuracy"": 0.179, ""avg_td_defense"": 0.281, ""avg_ctrl_seconds_per_15"": 173.925, ""avg_sub_att_per_15"": 0.193, ""avg_td_absorbed_per_15"": 3.652, ""avg_ctrl_absorbed_seconds_per_15"": 345.462}"
Women's Strawweight,grappling,worst,4,Ketlen Souza,-0.916,6,91,"{""avg_td_landed_per_15"": 0.333, ""avg_td_accuracy"": 0.156, ""avg_td_defense"": 0.553, ""avg_ctrl_seconds_per_15"": 142.029, ""avg_sub_att_per_15"": 0.824, ""avg_td_absorbed_per_15"": 3.429, ""avg_ctrl_absorbed_seconds_per_15"": 242.714}"
Women's Strawweight,grappling,worst,5,Marina Rodriguez,-0.778,13,371,"{""avg_td_landed_per_15"": 0.304, ""avg_td_accuracy"": 0.562, ""avg_td_defense"": 0.547, ""avg_ctrl_seconds_per_15"": 58.511, ""avg_sub_att_per_15"": 0.362, ""avg_td_absorbed_per_15"": 1.945, ""avg_ctrl_absorbed_seconds_per_15"": 328.811}"
Women's Strawweight,wrestling,best,1,Tatiana Suarez,2.318,10,28,"{""avg_td_landed_per_15"": 6.07, ""avg_td_attempted_per_15"": 10.329, ""avg_td_accuracy"": 0.624, ""avg_td_defense"": 0.556, ""avg_ctrl_seconds_per_15"": 572.483, ""avg_td_absorbed_per_15"": 0.461}"
Women's Strawweight,wrestling,best,2,Cory McKenna,1.41,6,574,"{""avg_td_landed_per_15"": 3.77, ""avg_td_attempted_per_15"": 6.017, ""avg_td_accuracy"": 0.502, ""avg_td_defense"": 0.8, ""avg_ctrl_seconds_per_15"": 420.083, ""avg_td_absorbed_per_15"": 0.333}"
Women's Strawweight,wrestling,best,3,Virna Jandiroba,1.291,13,35,"{""avg_td_landed_per_15"": 3.443, ""avg_td_attempted_per_15"": 7.775, ""avg_td_accuracy"": 0.478, ""avg_td_defense"": 0.736, ""avg_ctrl_seconds_per_15"": 424.719, ""avg_td_absorbed_per_15"": 0.631}"
Women's Strawweight,wrestling,best,4,Piera Rodriguez,1.276,7,56,"{""avg_td_landed_per_15"": 3.917, ""avg_td_attempted_per_15"": 6.605, ""avg_td_accuracy"": 0.624, ""avg_td_defense"": 0.817, ""avg_ctrl_seconds_per_15"": 284.773, ""avg_td_absorbed_per_15"": 0.744}"
Women's Strawweight,wrestling,best,5,Talita Alencar,1.159,5,14,"{""avg_td_landed_per_15"": 2.827, ""avg_td_attempted_per_15"": 7.444, ""avg_td_accuracy"": 0.447, ""avg_td_defense"": 1.0, ""avg_ctrl_seconds_per_15"": 297.427, ""avg_td_absorbed_per_15"": 0.0}"
Women's Strawweight,wrestling,worst,1,Istela Nunes,-2.028,5,399,"{""avg_td_landed_per_15"": 0.0, ""avg_td_attempted_per_15"": 0.2, ""avg_td_accuracy"": 0.0, ""avg_td_defense"": 0.457, ""avg_ctrl_seconds_per_15"": 43.945, ""avg_td_absorbed_per_15"": 7.452}"
Women's Strawweight,wrestling,worst,2,Elise Reed,-1.256,9,357,"{""avg_td_landed_per_15"": 0.333, ""avg_td_attempted_per_15"": 0.637, ""avg_td_accuracy"": 0.333, ""avg_td_defense"": 0.425, ""avg_ctrl_seconds_per_15"": 78.396, ""avg_td_absorbed_per_15"": 4.262}"
Women's Strawweight,wrestling,worst,3,Ariane Carnelossi,-1.055,6,189,"{""avg_td_landed_per_15"": 0.965, ""avg_td_attempted_per_15"": 1.899, ""avg_td_accuracy"": 0.179, ""avg_td_defense"": 0.281, ""avg_ctrl_seconds_per_15"": 173.925, ""avg_td_absorbed_per_15"": 3.652}"
Women's Strawweight,wrestling,worst,4,Ketlen Souza,-0.999,6,91,"{""avg_td_landed_per_15"": 0.333, ""avg_td_attempted_per_15"": 2.5, ""avg_td_accuracy"": 0.156, ""avg_td_defense"": 0.553, ""avg_ctrl_seconds_per_15"": 142.029, ""avg_td_absorbed_per_15"": 3.429}"
Women's Strawweight,wrestling,worst,5,Marina Rodriguez,-0.744,13,371,"{""avg_td_landed_per_15"": 0.304, ""avg_td_attempted_per_15"": 0.611, ""avg_td_accuracy"": 0.562, ""avg_td_defense"": 0.547, ""avg_ctrl_seconds_per_15"": 58.511, ""avg_td_absorbed_per_15"": 1.945}"
Women's Strawweight,finishing,best,1,Jaqueline Amorim,2.45,6,196,"{""prior_finish_win_rate"": 0.667, ""avg_kd_for"": 0.0, ""avg_sub_att_per_15"": 8.608, ""prior_win_rate"": 0.667}"
Women's Strawweight,finishing,best,2,Tatiana Suarez,1.438,10,28,"{""prior_finish_win_rate"": 0.6, ""avg_kd_for"": 0.0, ""avg_sub_att_per_15"": 1.574, ""prior_win_rate"": 0.9}"
Women's Strawweight,finishing,best,3,Denise Gomes,1.208,8,182,"{""prior_finish_win_rate"": 0.375, ""avg_kd_for"": 0.375, ""avg_sub_att_per_15"": 0.625, ""prior_win_rate"": 0.75}"
Women's Strawweight,finishing,best,4,Amanda Lemos,1.07,15,56,"{""prior_finish_win_rate"": 0.333, ""avg_kd_for"": 0.4, ""avg_sub_att_per_15"": 0.823, ""prior_win_rate"": 0.6}"
Women's Strawweight,finishing,best,5,Gillian Robertson,0.975,20,56,"{""prior_finish_win_rate"": 0.5, ""avg_kd_for"": 0.0, ""avg_sub_att_per_15"": 1.212, ""prior_win_rate"": 0.7}"
Women's Strawweight,finishing,worst,1,Montserrat Conejo Ruiz,-0.935,5,189,"{""prior_finish_win_rate"": 0.0, ""avg_kd_for"": 0.0, ""avg_sub_att_per_15"": 0.4, ""prior_win_rate"": 0.2}"
Women's Strawweight,finishing,worst,2,Jinh Yu Frey,-0.928,8,931,"{""prior_finish_win_rate"": 0.0, ""avg_kd_for"": 0.0, ""avg_sub_att_per_15"": 0.25, ""prior_win_rate"": 0.25}"
Women's Strawweight,finishing,worst,3,Emily Ducote,-0.88,5,721,"{""prior_finish_win_rate"": 0.0, ""avg_kd_for"": 0.0, ""avg_sub_att_per_15"": 0.0, ""prior_win_rate"": 0.4}"
Women's Strawweight,finishing,worst,4,Bruna Brasil,-0.877,8,42,"{""prior_finish_win_rate"": 0.0, ""avg_kd_for"": 0.0, ""avg_sub_att_per_15"": 0.125, ""prior_win_rate"": 0.375}"
Women's Strawweight,finishing,worst,5,Istela Nunes,-0.741,5,399,"{""prior_finish_win_rate"": 0.0, ""avg_kd_for"": 0.2, ""avg_sub_att_per_15"": 0.0, ""prior_win_rate"": 0.0}"
Women's Strawweight,defense,best,1,Talita Alencar,1.099,5,14,"{""avg_sig_str_defense"": 0.565, ""avg_td_defense"": 1.0, ""avg_sig_str_absorbed_per_15"": 48.537, ""avg_td_absorbed_per_15"": 0.0, ""avg_ctrl_absorbed_seconds_per_15"": 46.562, ""avg_kd_against"": 0.2, ""prior_finish_loss_rate"": 0.0}"
Women's Strawweight,defense,best,2,Loopy Godinez,0.888,15,28,"{""avg_sig_str_defense"": 0.625, ""avg_td_defense"": 0.756, ""avg_sig_str_absorbed_per_15"": 54.126, ""avg_td_absorbed_per_15"": 0.934, ""avg_ctrl_absorbed_seconds_per_15"": 130.574, ""avg_kd_against"": 0.0, ""prior_finish_loss_rate"": 0.067}"
Women's Strawweight,defense,best,3,Emily Ducote,0.842,5,721,"{""avg_sig_str_defense"": 0.585, ""avg_td_defense"": 0.917, ""avg_sig_str_absorbed_per_15"": 117.6, ""avg_td_absorbed_per_15"": 0.2, ""avg_ctrl_absorbed_seconds_per_15"": 4.4, ""avg_kd_against"": 0.0, ""prior_finish_loss_rate"": 0.0}"
Women's Strawweight,defense,best,4,Iasmin Lucindo,0.745,7,273,"{""avg_sig_str_defense"": 0.592, ""avg_td_defense"": 0.613, ""avg_sig_str_absorbed_per_15"": 40.463, ""avg_td_absorbed_per_15"": 0.818, ""avg_ctrl_absorbed_seconds_per_15"": 121.207, ""avg_kd_against"": 0.0, ""prior_finish_loss_rate"": 0.0}"
Women's Strawweight,defense,best,5,Virna Jandiroba,0.734,13,35,"{""avg_sig_str_defense"": 0.535, ""avg_td_defense"": 0.736, ""avg_sig_str_absorbed_per_15"": 36.889, ""avg_td_absorbed_per_15"": 0.631, ""avg_ctrl_absorbed_seconds_per_15"": 105.605, ""avg_kd_against"": 0.0, ""prior_finish_loss_rate"": 0.0}"
Women's Strawweight,defense,worst,1,Ariane Carnelossi,-1.497,6,189,"{""avg_sig_str_defense"": 0.405, ""avg_td_defense"": 0.281, ""avg_sig_str_absorbed_per_15"": 68.626, ""avg_td_absorbed_per_15"": 3.652, ""avg_ctrl_absorbed_seconds_per_15"": 345.462, ""avg_kd_against"": 0.167, ""prior_finish_loss_rate"": 0.333}"
Women's Strawweight,defense,worst,2,Elise Reed,-1.407,9,357,"{""avg_sig_str_defense"": 0.458, ""avg_td_defense"": 0.425, ""avg_sig_str_absorbed_per_15"": 53.034, ""avg_td_absorbed_per_15"": 4.262, ""avg_ctrl_absorbed_seconds_per_15"": 438.012, ""avg_kd_against"": 0.222, ""prior_finish_loss_rate"": 0.556}"
Women's Strawweight,defense,worst,3,Montserrat Conejo Ruiz,-1.389,5,189,"{""avg_sig_str_defense"": 0.424, ""avg_td_defense"": 0.444, ""avg_sig_str_absorbed_per_15"": 112.296, ""avg_td_absorbed_per_15"": 1.663, ""avg_ctrl_absorbed_seconds_per_15"": 295.97, ""avg_kd_against"": 0.2, ""prior_finish_loss_rate"": 0.6}"
Women's Strawweight,defense,worst,4,Istela Nunes,-1.095,5,399,"{""avg_sig_str_defense"": 0.624, ""avg_td_defense"": 0.457, ""avg_sig_str_absorbed_per_15"": 67.91, ""avg_td_absorbed_per_15"": 7.452, ""avg_ctrl_absorbed_seconds_per_15"": 282.033, ""avg_kd_against"": 0.4, ""prior_finish_loss_rate"": 0.6}"
Women's Strawweight,defense,worst,5,Yazmin Jauregui,-1.064,5,602,"{""avg_sig_str_defense"": 0.433, ""avg_td_defense"": 1.0, ""avg_sig_str_absorbed_per_15"": 215.437, ""avg_td_absorbed_per_15"": 0.0, ""avg_ctrl_absorbed_seconds_per_15"": 119.98, ""avg_kd_against"": 0.6, ""prior_finish_loss_rate"": 0.4}"
Women's Strawweight,elo,best,1,Tatiana Suarez,1623.328,10,28,"{""prior_elo"": 1623.328, ""prior_peak_elo"": 1623.328, ""prior_win_rate"": 0.9, ""prior_fights"": 10}"
Women's Strawweight,elo,best,2,Gillian Robertson,1608.891,20,56,"{""prior_elo"": 1608.891, ""prior_peak_elo"": 1608.891, ""prior_win_rate"": 0.7, ""prior_fights"": 20}"
Women's Strawweight,elo,best,3,Virna Jandiroba,1590.17,13,35,"{""prior_elo"": 1590.17, ""prior_peak_elo"": 1591.948, ""prior_win_rate"": 0.692, ""prior_fights"": 13}"
Women's Strawweight,elo,best,4,Mackenzie Dern,1580.601,16,196,"{""prior_elo"": 1580.601, ""prior_peak_elo"": 1580.601, ""prior_win_rate"": 0.688, ""prior_fights"": 16}"
Women's Strawweight,elo,best,5,Denise Gomes,1572.529,8,182,"{""prior_elo"": 1572.529, ""prior_peak_elo"": 1572.529, ""prior_win_rate"": 0.75, ""prior_fights"": 8}"
Women's Strawweight,elo,worst,1,Istela Nunes,1423.123,5,399,"{""prior_elo"": 1423.123, ""prior_peak_elo"": 1483.96, ""prior_win_rate"": 0.0, ""prior_fights"": 5}"
Women's Strawweight,elo,worst,2,Ashley Yoder,1432.528,11,938,"{""prior_elo"": 1432.528, ""prior_peak_elo"": 1486.891, ""prior_win_rate"": 0.273, ""prior_fights"": 11}"
Women's Strawweight,elo,worst,3,Jinh Yu Frey,1438.671,8,931,"{""prior_elo"": 1438.671, ""prior_peak_elo"": 1500.953, ""prior_win_rate"": 0.25, ""prior_fights"": 8}"
Women's Strawweight,elo,worst,4,Montserrat Conejo Ruiz,1442.922,5,189,"{""prior_elo"": 1442.922, ""prior_peak_elo"": 1516.0, ""prior_win_rate"": 0.2, ""prior_fights"": 5}"
Women's Strawweight,elo,worst,5,Jessica Penne,1447.511,9,567,"{""prior_elo"": 1447.511, ""prior_peak_elo"": 1513.6, ""prior_win_rate"": 0.333, ""prior_fights"": 9}"
Women's Strawweight,experience,best,1,Jessica Andrade,30.0,30,266,"{""prior_fights"": 30, ""prior_wins"": 17, ""prior_losses"": 13, ""prior_win_rate"": 0.567}"
Women's Strawweight,experience,best,2,Angela Hill,29.0,29,175,"{""prior_fights"": 29, ""prior_wins"": 13, ""prior_losses"": 16, ""prior_win_rate"": 0.448}"
Women's Strawweight,experience,best,3,Gillian Robertson,20.0,20,56,"{""prior_fights"": 20, ""prior_wins"": 14, ""prior_losses"": 6, ""prior_win_rate"": 0.7}"
Women's Strawweight,experience,best,4,Tecia Pennington,19.0,19,182,"{""prior_fights"": 19, ""prior_wins"": 11, ""prior_losses"": 8, ""prior_win_rate"": 0.579}"
Women's Strawweight,experience,best,5,Karolina Kowalkiewicz,19.0,19,210,"{""prior_fights"": 19, ""prior_wins"": 9, ""prior_losses"": 10, ""prior_win_rate"": 0.474}"
Women's Strawweight,experience,worst,1,Montserrat Conejo Ruiz,5.0,5,189,"{""prior_fights"": 5, ""prior_wins"": 1, ""prior_losses"": 4, ""prior_win_rate"": 0.2}"
Women's Strawweight,experience,worst,2,Istela Nunes,5.0,5,399,"{""prior_fights"": 5, ""prior_wins"": 0, ""prior_losses"": 5, ""prior_win_rate"": 0.0}"
Women's Strawweight,experience,worst,3,Emily Ducote,5.0,5,721,"{""prior_fights"": 5, ""prior_wins"": 2, ""prior_losses"": 3, ""prior_win_rate"": 0.4}"
Women's Strawweight,experience,worst,4,Hannah Goldy,5.0,5,959,"{""prior_fights"": 5, ""prior_wins"": 1, ""prior_losses"": 4, ""prior_win_rate"": 0.2}"
Women's Strawweight,experience,worst,5,Julia Polastri,5.0,5,14,"{""prior_fights"": 5, ""prior_wins"": 2, ""prior_losses"": 3, ""prior_win_rate"": 0.4}"
Women's Strawweight,reach,best,1,Ashley Yoder,69.0,11,938,"{""height_inches"": 67.0, ""reach_inches"": 69.0, ""reach_minus_height_inches"": 2.0}"
Women's Strawweight,reach,best,2,Jaqueline Amorim,68.0,6,196,"{""height_inches"": 63.0, ""reach_inches"": 68.0, ""reach_minus_height_inches"": 5.0}"
Women's Strawweight,reach,best,3,Jessica Penne,67.0,9,567,"{""height_inches"": 65.0, ""reach_inches"": 67.0, ""reach_minus_height_inches"": 2.0}"
Women's Strawweight,reach,best,4,Polyana Viana,67.0,11,378,"{""height_inches"": 65.0, ""reach_inches"": 67.0, ""reach_minus_height_inches"": 2.0}"
Women's Strawweight,reach,best,5,Amanda Ribas,66.0,13,287,"{""height_inches"": 64.0, ""reach_inches"": 66.0, ""reach_minus_height_inches"": 2.0}"
Women's Strawweight,reach,worst,1,Cory McKenna,58.0,6,574,"{""height_inches"": 63.0, ""reach_inches"": 58.0, ""reach_minus_height_inches"": -5.0}"
Women's Strawweight,reach,worst,2,Talita Alencar,58.0,5,14,"{""height_inches"": 61.0, ""reach_inches"": 58.0, ""reach_minus_height_inches"": -3.0}"
Women's Strawweight,reach,worst,3,Tecia Pennington,60.0,19,182,"{""height_inches"": 61.0, ""reach_inches"": 60.0, ""reach_minus_height_inches"": -1.0}"
Women's Strawweight,reach,worst,4,Tabatha Ricci,61.0,11,35,"{""height_inches"": 61.0, ""reach_inches"": 61.0, ""reach_minus_height_inches"": 0.0}"
Women's Strawweight,reach,worst,5,Hannah Goldy,61.0,5,959,"{""height_inches"": 64.0, ""reach_inches"": 61.0, ""reach_minus_height_inches"": -3.0}"
Women's Strawweight,reach_for_size,best,1,Jaqueline Amorim,5.0,6,196,"{""height_inches"": 63.0, ""reach_inches"": 68.0, ""reach_minus_height_inches"": 5.0}"
Women's Strawweight,reach_for_size,best,2,Iasmin Lucindo,3.0,7,273,"{""height_inches"": 63.0, ""reach_inches"": 66.0, ""reach_minus_height_inches"": 3.0}"
Women's Strawweight,reach_for_size,best,3,Carla Esparza,2.0,16,581,"{""height_inches"": 61.0, ""reach_inches"": 63.0, ""reach_minus_height_inches"": 2.0}"
Women's Strawweight,reach_for_size,best,4,Jessica Penne,2.0,9,567,"{""height_inches"": 65.0, ""reach_inches"": 67.0, ""reach_minus_height_inches"": 2.0}"
Women's Strawweight,reach_for_size,best,5,Polyana Viana,2.0,11,378,"{""height_inches"": 65.0, ""reach_inches"": 67.0, ""reach_minus_height_inches"": 2.0}"
Women's Strawweight,reach_for_size,worst,1,Cory McKenna,-5.0,6,574,"{""height_inches"": 63.0, ""reach_inches"": 58.0, ""reach_minus_height_inches"": -5.0}"
Women's Strawweight,reach_for_size,worst,2,Hannah Goldy,-3.0,5,959,"{""height_inches"": 64.0, ""reach_inches"": 61.0, ""reach_minus_height_inches"": -3.0}"
Women's Strawweight,reach_for_size,worst,3,Talita Alencar,-3.0,5,14,"{""height_inches"": 61.0, ""reach_inches"": 58.0, ""reach_minus_height_inches"": -3.0}"
Women's Strawweight,reach_for_size,worst,4,Yan Xiaonan,-2.0,13,392,"{""height_inches"": 65.0, ""reach_inches"": 63.0, ""reach_minus_height_inches"": -2.0}"
Women's Strawweight,reach_for_size,worst,5,Gillian Robertson,-2.0,20,56,"{""height_inches"": 65.0, ""reach_inches"": 63.0, ""reach_minus_height_inches"": -2.0}"
Women's Flyweight,overall,best,1,Valentina Shevchenko,1.726,18,175,"{""prior_elo"": 1684.212, ""prior_win_rate"": 0.833, ""recent_5_win_rate"": 0.8, ""avg_sig_str_differential_per_15"": 21.167, ""prior_finish_win_rate"": 0.333}"
Women's Flyweight,overall,best,2,Natalia Silva,1.624,8,105,"{""prior_elo"": 1628.379, ""prior_win_rate"": 1.0, ""recent_5_win_rate"": 1.0, ""avg_sig_str_differential_per_15"": 39.638, ""prior_finish_win_rate"": 0.25}"
Women's Flyweight,overall,best,3,Manon Fiorot,1.459,9,203,"{""prior_elo"": 1622.419, ""prior_win_rate"": 0.889, ""recent_5_win_rate"": 0.8, ""avg_sig_str_differential_per_15"": 54.291, ""prior_finish_win_rate"": 0.333}"
Women's Flyweight,overall,best,4,Zhang Weili,1.413,13,175,"{""prior_elo"": 1622.565, ""prior_win_rate"": 0.769, ""recent_5_win_rate"": 0.8, ""avg_sig_str_differential_per_15"": 79.698, ""prior_finish_win_rate"": 0.308}"
Women's Flyweight,overall,best,5,Erin Blanchfield,1.361,9,175,"{""prior_elo"": 1613.617, ""prior_win_rate"": 0.889, ""recent_5_win_rate"": 0.8, ""avg_sig_str_differential_per_15"": 22.801, ""prior_finish_win_rate"": 0.444}"
Women's Flyweight,overall,worst,1,Victoria Leonardo,-1.587,5,623,"{""prior_elo"": 1443.63, ""prior_win_rate"": 0.2, ""recent_5_win_rate"": 0.2, ""avg_sig_str_differential_per_15"": -61.8, ""prior_finish_win_rate"": 0.0}"
