weight_class,category,direction,rank,fighter,score,prior_fights,days_since_last_fight,supporting_stats_json
Light Heavyweight,striking,worst,4,Jamahal Hill,-0.956,10,322,"{""avg_sig_str_differential_per_15"": -7.792, ""avg_sig_str_landed_per_15"": 73.862, ""avg_sig_str_absorbed_per_15"": 81.654, ""avg_sig_str_accuracy"": 0.437, ""avg_sig_str_defense"": 0.419, ""avg_kd_for"": 0.2, ""avg_kd_against"": 0.4}"
Light Heavyweight,striking,worst,5,Modestas Bukauskas,-0.84,12,105,"{""avg_sig_str_differential_per_15"": -9.47, ""avg_sig_str_landed_per_15"": 52.899, ""avg_sig_str_absorbed_per_15"": 62.369, ""avg_sig_str_accuracy"": 0.444, ""avg_sig_str_defense"": 0.514, ""avg_kd_for"": 0.083, ""avg_kd_against"": 0.417}"
Light Heavyweight,grappling,best,1,Jimmy Crute,2.208,10,224,"{""avg_td_landed_per_15"": 6.525, ""avg_td_accuracy"": 0.5, ""avg_td_defense"": 0.69, ""avg_ctrl_seconds_per_15"": 304.409, ""avg_sub_att_per_15"": 1.925, ""avg_td_absorbed_per_15"": 0.716, ""avg_ctrl_absorbed_seconds_per_15"": 117.222}"
Light Heavyweight,grappling,best,2,Oumar Sy,1.482,5,56,"{""avg_td_landed_per_15"": 3.491, ""avg_td_accuracy"": 0.33, ""avg_td_defense"": 0.75, ""avg_ctrl_seconds_per_15"": 401.545, ""avg_sub_att_per_15"": 0.807, ""avg_td_absorbed_per_15"": 0.682, ""avg_ctrl_absorbed_seconds_per_15"": 103.942}"
Light Heavyweight,grappling,best,3,Ion Cutelaba,1.173,19,56,"{""avg_td_landed_per_15"": 4.663, ""avg_td_accuracy"": 0.487, ""avg_td_defense"": 0.734, ""avg_ctrl_seconds_per_15"": 233.513, ""avg_sub_att_per_15"": 0.456, ""avg_td_absorbed_per_15"": 0.987, ""avg_ctrl_absorbed_seconds_per_15"": 140.383}"
Light Heavyweight,grappling,best,4,Alonzo Menifield,0.95,16,168,"{""avg_td_landed_per_15"": 1.319, ""avg_td_accuracy"": 0.396, ""avg_td_defense"": 0.904, ""avg_ctrl_seconds_per_15"": 230.877, ""avg_sub_att_per_15"": 0.928, ""avg_td_absorbed_per_15"": 0.386, ""avg_ctrl_absorbed_seconds_per_15"": 103.997}"
Light Heavyweight,grappling,best,5,Philipe Lins,0.768,6,791,"{""avg_td_landed_per_15"": 1.167, ""avg_td_accuracy"": 0.328, ""avg_td_defense"": 1.0, ""avg_ctrl_seconds_per_15"": 201.622, ""avg_sub_att_per_15"": 0.0, ""avg_td_absorbed_per_15"": 0.0, ""avg_ctrl_absorbed_seconds_per_15"": 28.432}"
Light Heavyweight,grappling,worst,1,Brendson Ribeiro,-1.638,7,35,"{""avg_td_landed_per_15"": 0.429, ""avg_td_accuracy"": 0.25, ""avg_td_defense"": 0.208, ""avg_ctrl_seconds_per_15"": 22.578, ""avg_sub_att_per_15"": 0.474, ""avg_td_absorbed_per_15"": 3.784, ""avg_ctrl_absorbed_seconds_per_15"": 303.118}"
Light Heavyweight,grappling,worst,2,Junior Tafa,-1.231,8,7,"{""avg_td_landed_per_15"": 0.0, ""avg_td_accuracy"": null, ""avg_td_defense"": 0.744, ""avg_ctrl_seconds_per_15"": 19.082, ""avg_sub_att_per_15"": 0.0, ""avg_td_absorbed_per_15"": 2.791, ""avg_ctrl_absorbed_seconds_per_15"": 392.314}"
Light Heavyweight,grappling,worst,3,Marcin Prachnio,-1.173,11,294,"{""avg_td_landed_per_15"": 0.091, ""avg_td_accuracy"": 0.25, ""avg_td_defense"": 0.434, ""avg_ctrl_seconds_per_15"": 39.515, ""avg_sub_att_per_15"": 0.0, ""avg_td_absorbed_per_15"": 2.38, ""avg_ctrl_absorbed_seconds_per_15"": 199.974}"
Light Heavyweight,grappling,worst,4,Ibo Aslan,-0.86,5,154,"{""avg_td_landed_per_15"": 0.0, ""avg_td_accuracy"": 0.0, ""avg_td_defense"": 0.875, ""avg_ctrl_seconds_per_15"": 12.655, ""avg_sub_att_per_15"": 0.0, ""avg_td_absorbed_per_15"": 2.105, ""avg_ctrl_absorbed_seconds_per_15"": 96.403}"
Light Heavyweight,grappling,worst,5,Bogdan Guskov,-0.836,5,287,"{""avg_td_landed_per_15"": 0.0, ""avg_td_accuracy"": null, ""avg_td_defense"": 0.417, ""avg_ctrl_seconds_per_15"": 51.895, ""avg_sub_att_per_15"": 0.702, ""avg_td_absorbed_per_15"": 1.51, ""avg_ctrl_absorbed_seconds_per_15"": 271.99}"
Light Heavyweight,wrestling,best,1,Jimmy Crute,2.471,10,224,"{""avg_td_landed_per_15"": 6.525, ""avg_td_attempted_per_15"": 12.734, ""avg_td_accuracy"": 0.5, ""avg_td_defense"": 0.69, ""avg_ctrl_seconds_per_15"": 304.409, ""avg_td_absorbed_per_15"": 0.716}"
Light Heavyweight,wrestling,best,2,Oumar Sy,1.687,5,56,"{""avg_td_landed_per_15"": 3.491, ""avg_td_attempted_per_15"": 8.057, ""avg_td_accuracy"": 0.33, ""avg_td_defense"": 0.75, ""avg_ctrl_seconds_per_15"": 401.545, ""avg_td_absorbed_per_15"": 0.682}"
Light Heavyweight,wrestling,best,3,Ion Cutelaba,1.613,19,56,"{""avg_td_landed_per_15"": 4.663, ""avg_td_attempted_per_15"": 7.609, ""avg_td_accuracy"": 0.487, ""avg_td_defense"": 0.734, ""avg_ctrl_seconds_per_15"": 233.513, ""avg_td_absorbed_per_15"": 0.987}"
Light Heavyweight,wrestling,best,4,Philipe Lins,0.774,6,791,"{""avg_td_landed_per_15"": 1.167, ""avg_td_attempted_per_15"": 3.5, ""avg_td_accuracy"": 0.328, ""avg_td_defense"": 1.0, ""avg_ctrl_seconds_per_15"": 201.622, ""avg_td_absorbed_per_15"": 0.0}"
Light Heavyweight,wrestling,best,5,Alonzo Menifield,0.745,16,168,"{""avg_td_landed_per_15"": 1.319, ""avg_td_attempted_per_15"": 2.101, ""avg_td_accuracy"": 0.396, ""avg_td_defense"": 0.904, ""avg_ctrl_seconds_per_15"": 230.877, ""avg_td_absorbed_per_15"": 0.386}"
Light Heavyweight,wrestling,worst,1,Brendson Ribeiro,-1.485,7,35,"{""avg_td_landed_per_15"": 0.429, ""avg_td_attempted_per_15"": 1.189, ""avg_td_accuracy"": 0.25, ""avg_td_defense"": 0.208, ""avg_ctrl_seconds_per_15"": 22.578, ""avg_td_absorbed_per_15"": 3.784}"
Light Heavyweight,wrestling,worst,2,Marcin Prachnio,-1.084,11,294,"{""avg_td_landed_per_15"": 0.091, ""avg_td_attempted_per_15"": 0.463, ""avg_td_accuracy"": 0.25, ""avg_td_defense"": 0.434, ""avg_ctrl_seconds_per_15"": 39.515, ""avg_td_absorbed_per_15"": 2.38}"
Light Heavyweight,wrestling,worst,3,Ibo Aslan,-0.885,5,154,"{""avg_td_landed_per_15"": 0.0, ""avg_td_attempted_per_15"": 2.022, ""avg_td_accuracy"": 0.0, ""avg_td_defense"": 0.875, ""avg_ctrl_seconds_per_15"": 12.655, ""avg_td_absorbed_per_15"": 2.105}"
Light Heavyweight,wrestling,worst,4,Bogdan Guskov,-0.877,5,287,"{""avg_td_landed_per_15"": 0.0, ""avg_td_attempted_per_15"": 0.0, ""avg_td_accuracy"": null, ""avg_td_defense"": 0.417, ""avg_ctrl_seconds_per_15"": 51.895, ""avg_td_absorbed_per_15"": 1.51}"
Light Heavyweight,wrestling,worst,5,Junior Tafa,-0.863,8,7,"{""avg_td_landed_per_15"": 0.0, ""avg_td_attempted_per_15"": 0.0, ""avg_td_accuracy"": null, ""avg_td_defense"": 0.744, ""avg_ctrl_seconds_per_15"": 19.082, ""avg_td_absorbed_per_15"": 2.791}"
Light Heavyweight,finishing,best,1,Bogdan Guskov,1.53,5,287,"{""prior_finish_win_rate"": 0.8, ""avg_kd_for"": 0.6, ""avg_sub_att_per_15"": 0.702, ""prior_win_rate"": 0.8}"
Light Heavyweight,finishing,best,2,Azamat Murzakanov,1.407,7,28,"{""prior_finish_win_rate"": 0.714, ""avg_kd_for"": 0.857, ""avg_sub_att_per_15"": 0.188, ""prior_win_rate"": 0.857}"
Light Heavyweight,finishing,best,3,Alex Pereira,1.022,12,217,"{""prior_finish_win_rate"": 0.667, ""avg_kd_for"": 0.583, ""avg_sub_att_per_15"": 0.22, ""prior_win_rate"": 0.833}"
Light Heavyweight,finishing,best,4,Carlos Ulberg,0.995,11,28,"{""prior_finish_win_rate"": 0.636, ""avg_kd_for"": 0.636, ""avg_sub_att_per_15"": 0.092, ""prior_win_rate"": 0.909}"
Light Heavyweight,finishing,best,5,Jimmy Crute,0.969,10,224,"{""prior_finish_win_rate"": 0.6, ""avg_kd_for"": 0.3, ""avg_sub_att_per_15"": 1.925, ""prior_win_rate"": 0.6}"
Light Heavyweight,finishing,worst,1,Austen Lane,-1.657,6,49,"{""prior_finish_win_rate"": 0.0, ""avg_kd_for"": 0.167, ""avg_sub_att_per_15"": 0.0, ""prior_win_rate"": 0.167}"
Light Heavyweight,finishing,worst,2,Marcin Prachnio,-1.357,11,294,"{""prior_finish_win_rate"": 0.091, ""avg_kd_for"": 0.091, ""avg_sub_att_per_15"": 0.0, ""prior_win_rate"": 0.364}"
Light Heavyweight,finishing,worst,3,Devin Clark,-1.243,17,819,"{""prior_finish_win_rate"": 0.059, ""avg_kd_for"": 0.176, ""avg_sub_att_per_15"": 0.178, ""prior_win_rate"": 0.471}"
Light Heavyweight,finishing,worst,4,Brendson Ribeiro,-1.068,7,35,"{""prior_finish_win_rate"": 0.143, ""avg_kd_for"": 0.143, ""avg_sub_att_per_15"": 0.474, ""prior_win_rate"": 0.286}"
Light Heavyweight,finishing,worst,5,Philipe Lins,-0.892,6,791,"{""prior_finish_win_rate"": 0.167, ""avg_kd_for"": 0.167, ""avg_sub_att_per_15"": 0.0, ""prior_win_rate"": 0.667}"
Light Heavyweight,defense,best,1,Magomed Ankalaev,1.255,14,217,"{""avg_sig_str_defense"": 0.598, ""avg_td_defense"": 0.943, ""avg_sig_str_absorbed_per_15"": 60.358, ""avg_td_absorbed_per_15"": 0.214, ""avg_ctrl_absorbed_seconds_per_15"": 44.504, ""avg_kd_against"": 0.071, ""prior_finish_loss_rate"": 0.143}"
Light Heavyweight,defense,best,2,Azamat Murzakanov,1.134,7,28,"{""avg_sig_str_defense"": 0.558, ""avg_td_defense"": 0.944, ""avg_sig_str_absorbed_per_15"": 45.684, ""avg_td_absorbed_per_15"": 0.143, ""avg_ctrl_absorbed_seconds_per_15"": 86.757, ""avg_kd_against"": 0.143, ""prior_finish_loss_rate"": 0.143}"
Light Heavyweight,defense,best,3,Carlos Ulberg,1.059,11,28,"{""avg_sig_str_defense"": 0.529, ""avg_td_defense"": 0.9, ""avg_sig_str_absorbed_per_15"": 54.672, ""avg_td_absorbed_per_15"": 0.092, ""avg_ctrl_absorbed_seconds_per_15"": 4.473, ""avg_kd_against"": 0.091, ""prior_finish_loss_rate"": 0.091}"
Light Heavyweight,defense,best,4,Philipe Lins,0.883,6,791,"{""avg_sig_str_defense"": 0.481, ""avg_td_defense"": 1.0, ""avg_sig_str_absorbed_per_15"": 52.37, ""avg_td_absorbed_per_15"": 0.0, ""avg_ctrl_absorbed_seconds_per_15"": 28.432, ""avg_kd_against"": 0.167, ""prior_finish_loss_rate"": 0.167}"
Light Heavyweight,defense,best,5,Oumar Sy,0.871,5,56,"{""avg_sig_str_defense"": 0.522, ""avg_td_defense"": 0.75, ""avg_sig_str_absorbed_per_15"": 26.758, ""avg_td_absorbed_per_15"": 0.682, ""avg_ctrl_absorbed_seconds_per_15"": 103.942, ""avg_kd_against"": 0.0, ""prior_finish_loss_rate"": 0.2}"
Light Heavyweight,defense,worst,1,Brendson Ribeiro,-1.776,7,35,"{""avg_sig_str_defense"": 0.466, ""avg_td_defense"": 0.208, ""avg_sig_str_absorbed_per_15"": 71.763, ""avg_td_absorbed_per_15"": 3.784, ""avg_ctrl_absorbed_seconds_per_15"": 303.118, ""avg_kd_against"": 0.286, ""prior_finish_loss_rate"": 0.571}"
Light Heavyweight,defense,worst,2,Austen Lane,-1.769,6,49,"{""avg_sig_str_defense"": 0.35, ""avg_td_defense"": 0.5, ""avg_sig_str_absorbed_per_15"": 93.315, ""avg_td_absorbed_per_15"": 0.586, ""avg_ctrl_absorbed_seconds_per_15"": 156.877, ""avg_kd_against"": 0.667, ""prior_finish_loss_rate"": 0.833}"
Light Heavyweight,defense,worst,3,Paul Craig,-1.065,19,245,"{""avg_sig_str_defense"": 0.444, ""avg_td_defense"": 0.238, ""avg_sig_str_absorbed_per_15"": 50.154, ""avg_td_absorbed_per_15"": 1.106, ""avg_ctrl_absorbed_seconds_per_15"": 343.343, ""avg_kd_against"": 0.211, ""prior_finish_loss_rate"": 0.421}"
Light Heavyweight,defense,worst,4,Bogdan Guskov,-0.77,5,287,"{""avg_sig_str_defense"": 0.44, ""avg_td_defense"": 0.417, ""avg_sig_str_absorbed_per_15"": 58.369, ""avg_td_absorbed_per_15"": 1.51, ""avg_ctrl_absorbed_seconds_per_15"": 271.99, ""avg_kd_against"": 0.2, ""prior_finish_loss_rate"": 0.2}"
Light Heavyweight,defense,worst,5,Ibo Aslan,-0.732,5,154,"{""avg_sig_str_defense"": 0.399, ""avg_td_defense"": 0.875, ""avg_sig_str_absorbed_per_15"": 84.067, ""avg_td_absorbed_per_15"": 2.105, ""avg_ctrl_absorbed_seconds_per_15"": 96.403, ""avg_kd_against"": 0.4, ""prior_finish_loss_rate"": 0.4}"
Light Heavyweight,elo,best,1,Alex Pereira,1668.049,12,217,"{""prior_elo"": 1668.049, ""prior_peak_elo"": 1668.049, ""prior_win_rate"": 0.833, ""prior_fights"": 12}"
Light Heavyweight,elo,best,2,Magomed Ankalaev,1661.169,14,217,"{""prior_elo"": 1661.169, ""prior_peak_elo"": 1683.315, ""prior_win_rate"": 0.857, ""prior_fights"": 14}"
Light Heavyweight,elo,best,3,Carlos Ulberg,1657.87,11,28,"{""prior_elo"": 1657.87, ""prior_peak_elo"": 1657.87, ""prior_win_rate"": 0.909, ""prior_fights"": 11}"
Light Heavyweight,elo,best,4,Jan Blachowicz,1601.207,20,413,"{""prior_elo"": 1601.207, ""prior_peak_elo"": 1633.667, ""prior_win_rate"": 0.6, ""prior_fights"": 20}"
Light Heavyweight,elo,best,5,Paulo Costa,1593.635,12,28,"{""prior_elo"": 1593.635, ""prior_peak_elo"": 1596.456, ""prior_win_rate"": 0.667, ""prior_fights"": 12}"
Light Heavyweight,elo,worst,1,Austen Lane,1431.954,6,49,"{""prior_elo"": 1431.954, ""prior_peak_elo"": 1480.691, ""prior_win_rate"": 0.167, ""prior_fights"": 6}"
Light Heavyweight,elo,worst,2,Brendson Ribeiro,1449.958,7,35,"{""prior_elo"": 1449.958, ""prior_peak_elo"": 1497.059, ""prior_win_rate"": 0.286, ""prior_fights"": 7}"
Light Heavyweight,elo,worst,3,Marcin Prachnio,1456.678,11,294,"{""prior_elo"": 1456.678, ""prior_peak_elo"": 1487.386, ""prior_win_rate"": 0.364, ""prior_fights"": 11}"
Light Heavyweight,elo,worst,4,Ibo Aslan,1480.669,5,154,"{""prior_elo"": 1480.669, ""prior_peak_elo"": 1536.31, ""prior_win_rate"": 0.4, ""prior_fights"": 5}"
Light Heavyweight,elo,worst,5,Devin Clark,1483.547,17,819,"{""prior_elo"": 1483.547, ""prior_peak_elo"": 1526.917, ""prior_win_rate"": 0.471, ""prior_fights"": 17}"
Light Heavyweight,experience,best,1,Ovince Saint Preux,28.0,28,581,"{""prior_fights"": 28, ""prior_wins"": 15, ""prior_losses"": 13, ""prior_win_rate"": 0.536}"
Light Heavyweight,experience,best,2,Anthony Smith,25.0,25,378,"{""prior_fights"": 25, ""prior_wins"": 13, ""prior_losses"": 12, ""prior_win_rate"": 0.52}"
Light Heavyweight,experience,best,3,Nikita Krylov,21.0,21,105,"{""prior_fights"": 21, ""prior_wins"": 12, ""prior_losses"": 9, ""prior_win_rate"": 0.571}"
